district_str,neighborhood_latin,neighborhood_str,neighborhood_code,district_code
Bektemir tumani,Abay mahallasi,Абай махалля,0,0
Bektemir tumani,Mirishkor mahallasi,Миришкор махалля,290,0
Bektemir tumani,Oltintopgan mahallasi,Олтинтопган махалля,346,0
Bektemir tumani,Husayn Boyqaro mahallasi,Хусайн Бойкаро махалля,192,0
Bektemir tumani,Rohat mahallasi,Рохат махалля,407,0
Bektemir tumani,Zabardast mahallasi,Забардаст махалля,567,0
Bektemir tumani,Musaffo mahallasi,Мусаффо махалля,305,0
Bektemir tumani,Sohil mahallasi,Сохил махалля,452,0
Bektemir tumani,Zilola mahallasi,Зилола махалля,578,0
Bektemir tumani,Nurafshon mahallasi,Нурафшон махалля,327,0
Bektemir tumani,Nurliyo‘l mahallasi,Нурлийул махалля,329,0
Bektemir tumani,Gulbog' mahallasi,Гулбог махалля,163,0
Bektemir tumani,Iykota mahallasi,Ийкота махалля,213,0
Bektemir tumani,Majnuntol mahallasi,Мажнунтол махалля,274,0
Bektemir tumani,Chashma mahallasi,Чашма махалля,103,0
Bektemir tumani,Bektemir mahallasi,Бектемир махалля,49,0
Bektemir tumani,Ustozlar mahallasi,Устозлар махалля,493,0
Bektemir tumani,Iqbol mahallasi,Икбол махалля,204,0
Chilonzor tumani,Al-Xorazmiy mahallasi,Ал-Хоразмий махалля,19,1
Chilonzor tumani,Gavhar mahallasi,Гавхар махалля,159,1
Chilonzor tumani,Bo‘rijar mahallasi,Бурижар махалля,87,1
Chilonzor tumani,Guliston mahallasi,Гулистон махалля,165,1
Chilonzor tumani,Tirsakobod mahallasi,Тирсакобод махалля,472,1
Chilonzor tumani,Bekto'pi mahallasi,Бектупи махалля,50,1
Chilonzor tumani,Beshqo‘rg‘on mahallasi,Бешкургон махалля,59,1
Chilonzor tumani,Lutfiy mahallasi,Лутфий махалля,270,1
Chilonzor tumani,Sharq mahallasi,Шарк махалля,428,1
Chilonzor tumani,Yakkabog‘ mahallasi,Яккабог махалля,519,1
Chilonzor tumani,Charx Kamolon-3 mahallasi,Чарх Камолон-3 махалля,101,1
Chilonzor tumani,Dilobod mahallasi,Дилобод махалля,129,1
Chilonzor tumani,Katta Qozirabot mahallasi,Катта Козирaбот махалля,243,1
Chilonzor tumani,Beshchinor mahallasi,Бешчинор махалля,56,1
Chilonzor tumani,Xayrobod mahallasi,Хайробод махалля,504,1
Chilonzor tumani,Xonto'pi mahallasi,Хонтупи махалля,513,1
Chilonzor tumani,Katta Chilonzor-2 mahallasi,Катта Чилонзор-2 махалля,231,1
Chilonzor tumani,Bog‘zor mahallasi,Богзор махалля,82,1
Chilonzor tumani,Bahoriston mahallasi,Бахористон махалля,39,1
Chilonzor tumani,Yakkatut mahallasi,Яккатут махалля,521,1
Chilonzor tumani,Do‘mbirobod mahallasi,Думбиробод махалля,135,1
Chilonzor tumani,Katta Do‘mbirobod mahallasi,Катта Думбиробод махалля,234,1
Chilonzor tumani,Zarqo'rg'on mahallasi,Заркургон махалля,577,1
Chilonzor tumani,Qatortol-2 mahallasi,Катортол-2 махалля,382,1
Chilonzor tumani,Ko‘tarma mahallasi,Кутарма махалля,264,1
Chilonzor tumani,Katta Xirmontepa mahallasi,Катта Хирмонтепа махалля,245,1
Chilonzor tumani,Katta Chilonzor-1 mahallasi,Катта Чилонзор-1 махалля,230,1
Chilonzor tumani,Katta Navbahor mahallasi,Катта Навбахор махалля,237,1
Chilonzor tumani,Mehrjon mahallasi,Мехржон махалля,283,1
Chilonzor tumani,Chilonzor-Oqtepa mahallasi,Чилонзар-Октепа махалля,107,1
Chilonzor tumani,Navbahor mahallasi,Навбахор махалля,312,1
Chilonzor tumani,Mevazor mahallasi,Мевазор махалля,285,1
Chilonzor tumani,Katta Olmazor mahallasi,Катта Олмазор махалля,238,1
Chilonzor tumani,Fidokor mahallasi,Фидокор махалля,152,1
Chilonzor tumani,Xalqlar do‘stligi mahallasi,Халклар дустлиги махалля,502,1
Chilonzor tumani,Sharq tongi mahallasi,Шарк тонги махалля,429,1
Chilonzor tumani,Charx Kamolon-2 mahallasi,Чарх Камолон-2 махалля,100,1
Chilonzor tumani,Sharaf mahallasi,Шараф махалля,424,1
Chilonzor tumani,Xirmontepa mahallasi,Хирмонтепа махалля,505,1
