,4394049
detskaya_ploshatka,1
stoyanka,0
furnished,0
kabelnoe_tv,0
bathroomType_Alohida,0
handle,0
numberOfRooms,2
floor,1
floorOfHouse,5
totalArea,62.0
pricingMonth,4
pricingYear,2024
neighborhood,10
ownerType_Xususiy,1
ownerType_Biznes,False
buildType_Blokli,False
buildType_Yog_ochli,False
buildType_G_ishtli,False
buildType_Monolitli,False
buildType_Panelli,True
repairType_Zo_r,0
repairType_Yaxshi,False
repairType_Qoniqarsiz,1
district_code,10.0
neighborhood_code,16.0
telefon_internet,0
tv_wm_ac_fridge,0
